customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36622680_c0087,2025-01-23,72.05,3,61.69,Enterprise,
36622680_c0088,"Apr 14, 2025",169.32,6,,Consumer,
36622680_c0089,2025-02-17,235.35,5,274.27,SMB,
36622680_c0090,24/08/2025,151.9,5,165.63,SMB,
36622680_c0091,2025-07-03,185.62,2,215.23,SMB,no response
36622680_c0092,2025-07-05,34.66,7,61.95,SMB,
36622680_c0093,2025-09-01,102.92,3,120.64,Consumer,
36622680_c0094,02/05/2025,210.04,8,192.13,Consumer,
36622680_c0095,18/10/2024,22.69,5,40.12,Consumer,
36622680_c0096,2025-06-23,208.06,8,217.01,SMB,returned
36622680_c0097,2025-12-16,100.35,2,82.85,Consumer,returned
36622680_c0098,2025-09-29,40.56,2,9.28,Enterprise,N/A
36622680_c0099,24/05/2025,215.53,6,,SMB,
36622680_c0100,2025-03-09,191.83,7,277.99,SMB,
36622680_c0101,2025-05-11,71.54,4,,Enterprise,
36622680_c0102,2025-12-01,113.12,2,73.71,SMB,
36622680_c0103,2024-11-08,76.16,4,48.92,Consumer,contacted
36622680_c0104,N/A,192.32,6,222.69,SMB,contacted
36622680_c0105,2024-11-19,279.42,7,265.03,Consumer,
36622680_c0106,2025-03-15,130.55,9,94.76,SMB,no response
36622680_c0107,2025-10-06,121.94,4,130.97,SMB,returned
36622680_c0108,"Apr 12, 2025",87.26,6,101.29,Consumer,
36622680_c0109,21/01/2025,294.33,7,297.01,SMB,no response
36622680_c0110,2025-11-11,174.35,2,189.49,Consumer,
36622680_c0111,2024-11-08,203.23,5,,SMB,returned
36622680_c0112,2025-05-23,25.85,4,0,Consumer,
36622680_c0113,2025-02-03,11.85,1,1.17,Consumer,returned
36622680_c0114,2025-08-26,124.13,6,,SMB,contacted
36622680_c0115,2025-02-12,20.26,5,,Enterprise,contacted
36622680_c0116,2025-07-02,288.82,5,343.67,Consumer,contacted
36622680_c0117,2024-11-25,296.31,7,270.14,Consumer,no response
36622680_c0118,2025-12-07,156.1,6,206.44,SMB,
36622680_c0119,"Oct 29, 2024",216.25,6,182.59,Consumer,
36622680_c0120,2024-10-09,126.53,7,213.38,SMB,returned
36622680_c0121,N/A,49.35,5,146.97,SMB,
36622680_c0122,"Nov 09, 2025",8.93,4,,Enterprise,
36622680_c0123,2025-08-23,26.27,2,51.29,SMB,
36622680_c0124,2025-09-17,165.92,4,151.09,SMB,contacted
36622680_c0125,"Mar 27, 2025",168.26,2,261.33,SMB,
36622680_c0126,"Jul 05, 2025",187.85,6,217.86,SMB,N/A
36622680_c0127,"Jan 22, 2026",58.74,2,67.06,Consumer,
36622680_c0128,27/10/2025,232.07,5,238.48,Consumer,
36622680_c0129,2025-10-11,116.95,7,,Consumer,
36622680_c0130,2024-09-22,249.18,7,,SMB,
36622680_c0131,"Jan 07, 2026",123.42,6,198.61,Consumer,
36622680_c0132,2025-09-13,234.42,5,239.82,Enterprise,
36622680_c0133,2024-10-18,169.16,5,154.2,Consumer,returned
36622680_c0134,2025-07-21,167.24,13,127.39,SMB,
36622680_c0135,"Sep 28, 2024",190.46,7,173.96,Enterprise,contacted
36622680_c0136,2025-10-08,150.88,7,,SMB,returned
36622680_c0137,14/10/2025,150.44,7,188.39,Consumer,N/A
36622680_c0138,2025-11-01,38.28,3,112.11,Consumer,no response
36622680_c0139,2025-07-09,158.7,10,179.5,SMB,
36622680_c0140,2024-12-14,209.25,8,234.93,Consumer,
36622680_c0141,13/06/2025,193.28,3,174.2,SMB,contacted
36622680_c0142,2025-06-17,275.15,7,183.65,SMB,
36622680_c0143,"Oct 14, 2024",6.76,7,50.78,Consumer,N/A
36622680_c0144,2025-07-30,111.92,6,0,SMB,
36622680_c0145,N/A,37.37,2,,SMB,N/A
36622680_c0146,"Jul 10, 2025",255.16,4,148.09,Consumer,N/A
36622680_c0147,2025-01-08,104.48,1,65.86,Enterprise,N/A
36622680_c0148,2025-05-06,237.53,4,289.7,Consumer,
36622680_c0149,2025-03-19,19.83,2,12.89,Consumer,
36622680_c0150,2025-01-17,141.2,9,136.16,SMB,contacted
